Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
226,226,38,319,62,2,2,240,0,0,1,0,1,0,0,1,0,0,0,1,0,667,0,0,667,0
227,227,57,325,39,1,4,284,1,0,1,0,0,0,0,0,0,1,1,2,0,716,0,2,718,0
228,228,44,229,91,2,3,282,0,0,1,1,3,0,0,2,1,1,1,0,0,661,0,2,663,0
229,229,23,235,109,2,0,334,0,0,3,0,2,0,1,2,0,1,1,0,0,713,0,0,713,0
230,230,38,151,107,1,2,199,0,0,1,0,2,1,1,0,0,1,0,1,0,505,0,1,506,0
231,231,18,114,101,2,3,126,0,0,0,0,0,0,1,0,1,1,0,1,2,370,0,1,371,0
232,232,31,279,28,0,0,154,1,0,0,0,0,1,0,0,0,1,0,0,0,495,0,5,500,0
233,233,26,242,24,0,0,108,1,0,0,0,0,1,0,0,0,0,0,1,0,403,0,2,405,0
234,234,39,349,26,2,1,205,0,1,0,0,0,0,0,1,1,0,2,3,0,630,0,0,630,0
235,235,34,234,147,2,1,356,1,0,1,0,1,0,1,1,3,0,0,2,0,784,0,4,788,0
236,236,35,264,89,0,1,276,1,1,0,1,1,1,1,5,0,0,0,1,0,677,0,1,678,0
237,237,27,398,22,0,0,167,0,0,0,0,0,0,0,0,0,0,1,1,0,616,0,2,618,0
238,238,30,183,67,0,0,185,0,0,0,0,1,0,0,1,0,0,0,1,1,469,0,0,469,0
239,239,19,201,45,1,2,181,1,0,0,0,1,0,1,1,0,0,1,2,1,457,0,0,457,0
240,240,34,168,89,2,2,229,0,1,1,0,1,0,1,0,0,1,0,0,0,529,0,1,530,0
241,241,35,171,100,1,2,192,1,3,1,0,0,1,0,2,1,0,1,0,0,511,0,3,514,0
242,242,12,132,82,3,1,139,1,0,1,0,1,0,0,0,0,1,0,2,0,375,0,1,376,0
243,243,26,91,148,0,0,197,0,0,0,0,1,0,0,0,0,0,0,2,1,466,0,2,468,0
244,244,17,164,140,2,1,165,0,0,0,0,0,0,0,0,2,0,0,0,0,491,0,1,492,0
