Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
221,235,7,248,2,0,176,0,0,1,0,1,0,0,1,0,1,0,0,1,0,673,0,2,675,0
222,385,38,335,1,0,330,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1092,0,4,1096,0
223,174,17,218,0,2,219,0,1,0,0,0,0,1,0,0,1,0,0,0,1,634,0,1,635,0
224,236,15,324,1,0,184,0,3,0,0,1,0,0,0,0,3,1,0,1,0,769,0,1,770,0
225,222,18,208,0,1,237,0,0,0,0,0,0,1,0,0,0,1,0,0,0,688,0,1,689,0
226,231,29,181,0,0,253,0,0,0,0,0,0,0,0,2,1,0,0,0,0,697,0,3,700,0
227,250,16,151,1,1,242,1,0,0,0,0,0,0,0,0,0,2,0,0,0,664,0,0,664,0
228,214,21,132,0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,585,0,3,588,0
229,241,12,131,1,2,247,0,0,0,0,0,0,1,0,0,1,1,0,1,0,638,0,2,640,0
230,169,19,240,0,0,223,0,1,1,0,0,0,0,0,0,1,1,1,0,0,656,0,0,656,0
