Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
123,347,13,72,1,0,353,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,794,0,0,794,0
124,189,22,112,1,1,222,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,4,553,0
125,175,20,134,0,0,168,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,502,0,4,506,0
126,183,13,122,0,1,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,545,0,3,548,0
127,148,11,66,0,0,102,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,331,0,6,337,0
128,149,19,46,0,0,207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,425,0,3,428,0
129,144,14,49,1,0,170,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,383,0,2,385,0
130,170,11,94,0,0,106,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,387,0,5,392,0
131,168,15,107,1,1,232,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,529,0,4,533,0
132,257,20,292,3,0,301,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,5,882,0
133,164,26,146,0,2,302,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,646,0,3,649,0
134,171,28,153,0,0,270,0,0,0,1,1,1,1,2,1,0,0,0,2,0,0,1,1,1,0,0,0,0,634,0,3,637,0
135,122,5,41,1,0,192,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,370,0,2,372,0
136,207,34,89,0,1,309,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,645,0,4,649,0
137,216,16,39,0,0,238,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,514,0,1,515,0
138,285,15,88,0,0,318,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,712,0,1,713,0
139,197,10,74,0,0,332,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,622,0,2,624,0
140,223,9,78,0,0,287,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,602,0,2,604,0
141,117,23,43,0,1,187,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,374,0,1,375,1
142,147,25,27,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,317,0
