Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
286,168,15,300,226,0,0,0,4,0,0,0,0,0,2,0,715,0,3,718,0
287,118,27,184,193,1,1,1,1,0,0,0,0,1,0,0,527,0,2,529,0
288,134,28,303,302,2,3,0,7,1,1,0,0,0,3,0,784,0,4,788,1
289,62,11,188,116,0,1,0,1,0,0,0,1,0,0,0,380,0,3,383,0
290,110,16,550,271,1,0,1,2,1,0,0,0,1,1,0,954,0,2,956,0
291,58,15,516,200,0,0,1,3,0,0,0,0,0,0,0,793,0,2,795,0
292,93,8,334,225,0,1,0,2,0,0,1,1,3,3,0,671,0,7,678,0
293,56,22,367,208,1,0,1,4,0,0,0,0,0,0,0,659,0,4,663,0
294,102,36,502,272,0,1,1,4,0,0,0,0,2,0,0,920,0,3,923,0
295,175,33,295,393,3,0,0,7,0,0,1,2,3,2,2,916,0,6,922,0
296,153,35,150,272,1,0,0,2,0,0,0,1,1,0,0,615,0,2,617,0
297,177,24,135,270,1,0,0,4,0,0,1,0,0,1,1,614,0,5,619,0
