Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
211,198,219,29,0,0,2,292,0,1,0,0,1,0,1,2,0,0,0,1,0,1,747,0,1,748,0
212,39,41,9,0,0,0,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,178,0,1,179,0
213,171,121,21,0,0,2,288,1,1,1,0,0,1,0,0,0,1,0,1,0,0,609,0,1,610,0
214,131,58,25,0,0,1,199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,415,0,3,418,0
215,126,86,22,0,0,0,205,1,0,0,0,0,1,3,0,0,0,0,0,0,0,444,0,2,446,0
216,156,88,22,1,0,0,303,0,1,0,0,0,0,1,0,2,0,0,0,0,0,574,0,1,575,0
217,173,157,49,0,0,1,400,0,1,0,0,0,0,1,0,1,0,1,0,0,0,784,0,2,786,0
218,174,113,26,0,0,0,310,0,0,1,0,0,0,0,1,0,1,0,0,0,0,626,0,1,627,0
219,173,132,24,2,0,1,321,0,0,0,0,0,0,0,0,1,0,1,1,0,0,656,0,1,657,0
220,98,87,17,0,0,0,195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,398,0,2,400,0
221,124,115,21,1,0,3,178,1,0,0,0,0,0,1,1,0,0,0,1,0,0,446,0,2,448,0
222,135,143,38,0,0,0,279,1,1,1,1,0,0,0,0,1,1,0,0,0,0,601,0,4,605,0
223,154,85,21,1,1,0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,1,565,0
224,242,149,53,1,2,0,464,0,1,0,0,2,0,0,0,1,0,0,0,0,0,915,0,5,920,0
