Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
205,198,22,274,3,0,1,391,0,0,0,0,1,0,890,890,0,4,894,0
206,168,12,277,0,2,0,324,0,2,0,0,0,0,785,785,0,5,790,0
207,160,6,238,0,2,0,325,0,0,0,1,1,0,733,733,0,2,735,0
208,301,18,111,0,0,3,388,0,0,1,1,1,1,825,825,0,2,827,0
209,508,7,36,0,0,0,310,1,0,0,0,0,0,862,862,0,3,865,0
210,214,17,273,0,1,1,237,0,0,0,0,0,0,743,743,0,3,746,0
211,277,15,135,0,0,0,307,1,0,0,0,1,0,736,736,0,1,737,0
212,212,16,109,0,1,1,302,2,0,0,0,0,0,643,643,0,6,649,0
213,302,20,118,0,0,1,373,0,0,0,1,0,0,815,815,0,1,816,0
214,177,9,229,2,0,0,190,1,0,0,0,0,1,609,609,0,3,612,0
215,358,13,177,0,0,1,390,1,0,0,0,0,0,940,940,0,1,941,0
216,310,18,151,2,2,0,338,0,0,1,0,0,0,822,822,0,2,824,0
217,279,23,174,0,1,2,421,0,0,0,0,1,0,901,901,0,3,904,0
218,256,19,300,0,0,1,247,1,0,0,0,0,0,824,824,0,3,827,0
219,261,19,319,1,0,1,263,1,0,0,0,1,2,868,868,0,4,872,0
220,182,13,237,2,0,0,239,1,0,0,0,0,1,675,675,0,0,675,0
221,217,15,276,1,1,0,249,1,0,0,0,1,0,761,761,0,3,764,0
222,115,16,225,0,1,0,156,0,0,0,0,2,1,516,516,0,2,518,0
223,193,6,142,3,0,1,225,0,0,0,0,0,0,570,570,0,4,574,0
224,323,25,172,0,1,1,385,1,0,0,0,2,0,910,910,0,2,912,0
225,253,15,186,0,0,0,356,0,0,1,0,0,0,811,811,0,4,815,0
226,407,15,93,0,0,0,228,0,0,0,1,0,0,744,744,0,0,744,0
227,205,28,253,0,1,1,406,2,0,1,0,2,1,900,900,0,4,904,0
228,298,48,189,1,1,1,352,0,0,0,0,0,1,891,891,0,4,895,0
229,254,33,254,0,0,2,291,0,0,0,0,1,0,835,835,0,6,841,0
230,264,55,153,1,1,0,400,1,0,1,1,0,0,877,877,0,4,881,0
231,319,10,223,0,1,1,298,0,0,1,0,1,1,855,855,0,1,856,0
232,261,22,177,1,0,0,323,0,0,0,0,1,0,785,785,0,6,791,0
233,252,25,211,0,2,0,271,1,1,0,1,0,0,764,764,0,5,769,0
234,194,22,184,0,0,0,247,1,2,0,0,2,0,652,652,0,4,656,0
235,227,37,335,0,1,0,207,1,0,0,0,2,0,810,810,0,4,814,0
236,274,26,210,1,0,0,305,3,0,1,0,0,0,820,820,0,8,828,0
237,148,37,214,0,0,4,314,1,0,0,0,0,0,718,718,0,0,718,0
238,284,23,173,0,0,0,314,0,0,0,0,0,0,794,794,0,3,797,0
239,166,22,206,2,0,2,264,0,0,0,0,1,0,663,663,0,3,666,0
240,175,19,117,3,0,2,298,0,1,0,1,2,1,619,619,0,6,625,0
241,186,24,133,1,3,1,272,0,0,1,0,0,1,622,622,0,2,624,0
242,247,17,153,0,0,1,327,0,1,0,0,1,0,747,747,0,2,749,0
243,205,21,176,0,0,0,247,0,1,0,0,0,0,650,650,0,5,655,0
244,257,25,128,0,0,2,277,1,1,1,1,0,0,693,693,0,6,699,0
245,204,19,160,0,0,1,308,2,1,0,0,2,0,697,697,0,5,702,0
246,254,15,152,1,0,2,290,0,0,0,1,0,1,716,716,0,10,726,0
247,281,22,136,0,1,0,245,0,2,0,1,1,0,689,689,0,2,691,0
248,417,25,75,0,1,0,181,0,0,0,0,0,1,700,700,0,4,704,0
249,274,24,138,0,3,0,338,1,1,0,0,1,0,780,780,0,4,784,0
250,210,27,123,0,1,1,192,0,0,0,0,0,0,554,554,0,4,558,0
251,280,22,65,1,0,0,308,0,1,0,0,0,0,677,677,0,1,678,0
252,294,30,141,1,1,0,306,0,0,0,1,0,0,774,774,0,4,778,0
253,246,7,120,1,2,1,332,0,0,0,0,1,1,711,711,0,4,715,0
254,197,14,74,0,4,0,350,0,1,0,0,0,0,640,640,0,5,645,0
255,188,15,269,1,3,1,340,1,0,2,0,0,1,821,821,0,3,824,0
256,200,25,285,2,1,4,394,0,1,0,0,1,2,915,915,0,5,920,0
257,279,26,108,0,0,1,309,0,0,0,3,0,0,726,726,0,8,734,0
258,233,12,132,1,1,1,310,0,0,0,0,0,0,690,690,0,5,695,0
259,192,17,162,0,1,2,326,0,0,0,0,0,1,701,701,0,3,704,0
260,242,30,154,2,1,0,290,0,2,0,0,0,0,721,721,0,7,728,0
261,178,26,206,1,0,1,269,0,0,0,0,0,0,681,681,0,4,685,0
262,151,5,91,0,0,0,149,0,0,0,0,0,0,396,396,0,0,396,0
263,177,16,260,0,0,1,289,3,0,0,0,0,0,746,746,0,5,751,0
264,150,22,232,2,2,0,295,0,0,0,0,1,0,704,704,0,3,707,0
265,170,11,75,0,0,0,202,0,1,0,0,2,1,462,462,0,0,462,0
266,266,19,363,0,0,1,306,0,1,1,1,0,1,959,959,0,4,963,0
267,163,23,372,1,0,1,335,0,0,1,0,2,1,899,899,0,7,906,0
268,230,18,452,1,1,0,275,2,1,1,0,0,0,981,981,0,6,987,0
269,134,7,269,2,0,0,151,0,0,0,0,3,2,568,568,0,1,569,0
270,216,20,131,1,0,1,214,0,0,0,1,0,0,584,584,0,0,584,0
271,214,13,588,4,0,0,234,2,0,1,0,1,0,1057,1057,0,1,1058,0
272,238,32,390,3,0,1,187,0,0,1,1,0,0,853,853,0,6,859,0
273,249,12,326,2,0,0,228,0,0,1,2,3,0,823,823,0,3,826,0
274,272,17,208,0,0,0,284,0,0,0,0,1,1,783,783,0,0,783,0
275,258,15,153,0,2,0,234,1,0,0,0,0,0,663,663,0,1,664,0
276,174,14,239,0,0,0,254,0,1,0,0,0,1,683,683,0,1,684,0
277,205,10,320,1,0,0,266,3,0,0,1,2,0,808,808,0,3,811,0
278,168,19,326,0,0,0,313,1,0,0,0,1,0,828,828,0,4,832,0
279,197,16,310,1,0,1,224,1,0,2,0,4,0,756,756,0,2,758,0
280,181,7,262,2,1,1,134,0,0,0,0,0,0,588,588,0,6,594,0
281,267,29,353,4,0,1,273,1,0,0,0,0,3,931,931,0,5,936,0
282,250,24,224,1,0,0,215,0,0,1,0,0,1,716,716,0,0,716,0
283,179,13,290,1,0,1,168,1,0,1,0,2,0,656,656,0,4,660,0
284,265,23,322,1,1,0,253,0,0,1,2,1,0,869,869,0,2,871,0
285,107,16,347,1,0,1,165,0,2,0,0,0,1,640,640,0,0,640,0
286,266,26,301,1,1,0,223,0,0,0,0,1,0,819,819,0,2,821,0
287,248,29,358,0,2,0,206,3,0,0,0,2,1,849,849,0,1,850,0
288,107,19,336,3,0,4,132,0,2,1,0,3,1,608,608,0,3,611,0
289,104,9,135,1,1,0,104,0,0,3,0,1,2,360,360,0,0,360,0
290,73,5,71,1,1,0,106,1,1,0,0,1,0,260,260,0,2,262,0
291,184,20,368,3,0,0,215,0,2,0,0,4,2,798,798,0,3,801,0
292,287,15,447,5,0,1,206,1,2,0,0,4,0,968,968,0,6,974,0
293,135,6,376,0,1,0,156,0,0,1,1,2,1,679,679,0,2,681,0
294,259,17,365,2,2,0,237,2,0,0,0,0,2,886,886,0,12,898,0
295,167,7,262,3,0,0,174,0,1,0,0,2,0,616,616,0,1,617,0
