Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
107,244,11,77,0,1,154,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,490,0,5,495,0
108,263,9,112,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,565,0,0,565,0
109,130,18,162,0,2,324,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,648,0,5,653,0
110,144,11,183,0,0,229,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,573,0,7,580,0
111,283,19,102,1,1,222,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,633,0,5,638,0
112,308,23,66,0,0,82,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,485,0,5,490,0
113,312,12,110,0,0,138,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,578,0,3,581,0
114,123,14,273,1,1,244,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,662,0,2,664,0
115,217,18,105,0,0,177,1,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,525,0,2,527,0
116,264,15,178,2,0,196,3,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2,0,0,0,1,668,0,10,678,0
117,132,23,161,1,0,258,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,582,0,1,583,0
118,343,10,66,1,1,146,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,574,0,8,582,0
119,59,20,303,0,0,178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,562,0,3,565,0
120,114,24,158,0,0,193,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,494,0,6,500,0
121,62,12,224,1,0,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,3,501,0
122,46,9,244,2,0,147,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,451,0,1,452,0
123,91,17,227,0,1,259,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,601,0,1,602,0
124,156,23,225,1,0,275,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,684,0,3,687,0
125,135,15,139,0,0,172,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,465,0,3,468,0
126,101,20,121,0,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,409,0,2,411,0
127,205,24,162,0,0,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,597,0,6,603,0
128,123,10,209,1,2,250,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,3,1,1,0,607,0,8,615,0
129,51,15,218,0,1,216,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,505,0,1,506,1
130,36,17,254,0,0,231,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,541,0,0,541,0
131,26,9,344,2,3,250,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,636,0,2,638,0
132,67,15,427,3,0,277,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,1,0,0,798,0,0,798,0
133,68,15,282,2,2,308,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,683,0,6,689,0
134,61,13,279,0,0,255,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,613,0,3,616,0
135,82,18,366,0,2,347,2,1,1,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,825,0,4,829,0
136,ge 273,17,387,2,2,336,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,822,0,6,828,0
137,70,27,410,1,0,284,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,1,0,801,0,2,803,0
138,123,23,243,1,1,323,3,1,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,725,0,5,730,0
139,88,11,242,0,1,254,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,602,0,3,605,0
140,31,7,463,1,2,225,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,732,0,1,733,0
141,27,12,469,1,1,164,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,682,0,2,684,1
142,50,11,402,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,651,0,4,655,0
143,30,3,474,1,3,243,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,759,0,5,764,0
144,8,11,369,1,0,160,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,555,0,2,557,0
145,16,6,344,1,0,144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,513,0,0,513,0
146,33,12,387,1,1,228,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,668,0,1,669,0
147,7,6,479,6,3,146,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,653,0,1,654,0
148,2,5,325,0,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,415,0
149,18,9,473,1,0,156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,661,0,1,662,0
150,17,8,585,0,8,191,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,815,0,4,819,0
151,83,20,239,0,2,259,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,608,0,7,615,0
152,61,13,298,0,0,222,3,0,1,0,2,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,606,0,2,608,0
153,93,16,206,2,0,239,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,563,0,3,566,0
154,43,4,302,1,0,195,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,548,0,3,551,0
